view_id,difficulty
0,0.5951744179918983
1,0.589424547823105
2,0.586948224931169
3,0.5868286427765055
4,0.588986839570398
5,0.595059383495979
6,0.6045946966374908
7,0.6152729501289879
8,0.6264289061192249
9,0.634742404665553
10,0.6424829839597188
11,0.6486533065199773
12,0.6526838538021955
13,0.6539017539823265
14,0.6542430264270694
15,0.6507536155796227
16,0.6459358949228473
17,0.6396246326177386
18,0.6301553809381147
19,0.6141821720336198
20,0.59277763525762
21,0.5672481121521563
22,0.5371607659772341
23,0.5161544784453627
24,0.5012648483738169
